data are 9 studies comparing sodium flouride (NaF) and sodium monoflourophosphat (SMFP),,,,,
"DMFS is an index of decayed, missing or filled teeth score",,,,,
"data from Sutton et al. Meta-analysis book, cited as from a published  meta-analysis",,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
n1,mean1,sd1,n2,mean2,sd2
134,5.960000038,4.239999771,113,6.820000172,4.71999979
175,4.739999771,4.639999866,151,5.070000172,5.380000114
137,2.039999962,2.589999914,140,2.50999999,3.220000029
184,2.700000048,2.319999933,179,3.200000048,2.460000038
174,6.090000153,4.860000134,169,5.809999943,5.139999866
754,4.71999979,5.329999924,736,4.760000229,5.289999962
209,10.10000038,8.100000381,209,10.89999962,7.900000095
1151,2.819999933,3.049999952,1122,3.00999999,3.319999933
679,3.880000114,4.849999905,673,4.369999886,5.369999886
