The meta-analysis concerns 13 trials on the efficacy of BCG vaccine,,,,,,,
against tuberculosis. In each trial a vaccinated group is compared with a non-vaccinated,,,,,,,
control group. The data consist of the sample size in each group and the number of cases of,,,,,,,
tuberculosis.,,,,,,,
" Data and data step program are from van Houligen 2002, Advanced Methods meta-analysis",,,,,,,
,,,,,,,
,,,,,,,
"vd=""No. Vaccinated with Disease""",,,,,,,
"vwd=""No. Vaccinated without Disease""",,,,,,,
"nvd=""No. not vaccinated with Disease""",,,,,,,
"nvwd=""No. not vaccinated without Disease""",,,,,,,
"latitude=""Latitude of study site""",,,,,,,
"year=""Year study conducted, (-1900)""",,,,,,,
"alloc=""Allocation method 1=random, 2=alternate, 3=systematic""",,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
trial,vd,vwd,nvd,nvwd,latitude,year,alloc
1,4,119,11,128,44,48,1
2,6,300,29,274,55,49,1
3,3,228,11,209,42,60,1
4,62,13536,248,12619,52,77,1
5,33,5036,47,5761,13,73,2
6,180,1361,372,1079,44,53,2
7,8,2537,10,619,19,73,1
8,505,87886,499,87892,13,80,1
9,29,7470,45,7232,27,68,1
10,17,1699,65,1600,42,61,3
11,186,50448,141,27197,18,74,3
12,5,2493,3,2338,33,69,3
13,27,16886,29,17825,33,76,3
